日期,ETF,开盘,最高,最低,收盘,成交量
03/11/2026,IBIT,39.83,40.47,39.52,40.07,"46,499,470"
03/10/2026,IBIT,40.185,40.725,39.29,39.71,"62,965,480"
03/09/2026,IBIT,38.99,39.445,38.69,39.13,"73,613,460"
03/06/2026,IBIT,39.11,39.19,38.375,38.60,"57,220,290"
03/05/2026,IBIT,41.14,41.31,40.035,40.39,"61,402,210"
03/04/2026,IBIT,40.70,42.02,40.44,41.44,"115,483,500"
03/03/2026,IBIT,38.03,39.14,37.50,38.70,"70,667,450"
03/02/2026,IBIT,37.19,39.78,37.17,39.195,"101,283,200"
02/27/2026,IBIT,37.50,37.63,36.91,37.19,"48,597,840"
02/26/2026,IBIT,38.62,38.72,37.71,38.26,"51,941,110"
02/25/2026,IBIT,37.75,39.46,37.5301,39.23,"79,921,090"
02/24/2026,IBIT,35.72,36.71,35.60,36.53,"47,064,700"
02/23/2026,IBIT,37.465,37.56,36.20,36.55,"61,935,350"
02/20/2026,IBIT,37.99,38.61,37.72,38.42,"62,397,070"
02/19/2026,IBIT,37.385,38.10,37.20,38.07,"44,587,860"
03/11/2026,FBTC,61.17,62.155,60.72,61.57,"4,729,409"
03/10/2026,FBTC,61.77,62.57,60.36,61.03,"5,141,029"
03/09/2026,FBTC,59.87,60.58,59.45,60.13,"5,188,299"
03/06/2026,FBTC,60.07,60.19,58.98,59.31,"5,759,543"
03/05/2026,FBTC,63.19,63.44,61.51,62.05,"4,882,663"
03/04/2026,FBTC,62.48,64.56,62.13,63.68,"6,999,775"
03/03/2026,FBTC,58.46,60.10,57.62,59.45,"5,118,050"
03/02/2026,FBTC,57.09,61.11,57.09,60.26,"10,070,420"
02/27/2026,FBTC,57.58,57.81,56.72,57.15,"3,154,283"
02/26/2026,FBTC,59.37,59.49,57.94,58.74,"5,998,120"
02/25/2026,FBTC,58.00,60.61,57.67,60.30,"6,270,007"
02/24/2026,FBTC,54.89,56.40,54.695,56.13,"5,180,192"
02/23/2026,FBTC,57.56,57.6902,55.63,56.13,"6,669,243"
02/20/2026,FBTC,58.39,59.31,57.97,59.01,"7,635,863"
02/19/2026,FBTC,57.45,58.535,57.15,58.46,"3,891,389"
03/11/2026,GBTC,54.72,55.615,54.32,55.05,"3,080,044"
03/10/2026,GBTC,55.22,55.95,54.00,54.60,"3,996,655"
03/09/2026,GBTC,53.57,54.21,53.19,53.79,"3,502,087"
03/06/2026,GBTC,53.745,53.86,52.75,53.06,"2,350,181"
03/05/2026,GBTC,56.57,56.78,55.04,55.53,"4,447,029"
03/04/2026,GBTC,55.94,57.745,55.59,56.99,"5,125,113"
03/03/2026,GBTC,52.30,53.77,51.56,53.18,"4,122,990"
03/02/2026,GBTC,51.09,54.68,51.0801,53.89,"4,394,381"
02/27/2026,GBTC,51.54,51.725,50.75,51.13,"3,645,526"
02/26/2026,GBTC,53.10,53.24,51.86,52.58,"4,045,058"
02/25/2026,GBTC,51.90,54.2443,51.61,53.94,"3,376,390"
02/24/2026,GBTC,49.09,50.47,48.95,50.27,"2,331,986"
02/23/2026,GBTC,51.51,51.64,49.79,50.23,"3,942,617"
02/20/2026,GBTC,52.21,53.09,51.88,52.81,"5,055,107"
02/19/2026,GBTC,51.42,52.39,51.16,52.32,"2,196,036"
03/11/2026,ARKB,23.31,23.68,23.13,23.46,"4,393,573"
03/10/2026,ARKB,23.52,23.84,22.99,23.255,"5,655,866"
03/09/2026,ARKB,22.83,23.08,22.65,22.93,"6,489,146"
03/06/2026,ARKB,22.90,22.93,22.465,22.60,"4,340,747"
03/05/2026,ARKB,24.08,24.18,23.44,23.64,"7,009,054"
03/04/2026,ARKB,23.81,24.59,23.68,24.26,"11,422,830"
03/03/2026,ARKB,22.28,22.90,21.96,22.65,"10,549,800"
03/02/2026,ARKB,21.76,23.275,21.76,22.96,"15,331,540"
02/27/2026,ARKB,21.94,22.02,21.62,21.78,"2,942,900"
02/26/2026,ARKB,22.60,22.66,22.08,22.38,"6,326,493"
02/25/2026,ARKB,22.11,23.09,21.97,22.98,"5,601,237"
02/24/2026,ARKB,20.92,21.49,20.84,21.41,"4,683,134"
02/23/2026,ARKB,21.95,21.98,21.20,21.385,"4,897,917"
02/20/2026,ARKB,22.23,22.60,22.085,22.48,"6,153,833"
02/19/2026,ARKB,21.88,22.30,21.77,22.29,"4,900,320"
03/11/2026,BITB,38.18,38.76,37.87,38.37,"3,209,174"
03/10/2026,BITB,38.49,39.02,37.645,38.05,"4,777,649"
03/09/2026,BITB,37.36,37.78,37.07,37.50,"5,167,156"
03/06/2026,BITB,37.47,37.53,36.77,36.98,"3,069,102"
03/05/2026,BITB,39.40,39.57,38.36,38.70,"5,629,766"
03/04/2026,BITB,38.99,40.24,38.74,39.72,"6,515,357"
03/03/2026,BITB,36.43,37.49,35.935,37.06,"6,853,887"
03/02/2026,BITB,35.66,38.10,35.62,37.56,"6,927,807"
02/27/2026,BITB,35.94,36.045,35.37,35.63,"2,424,585"
02/26/2026,BITB,37.00,37.09,36.13,36.65,"4,646,129"
02/25/2026,BITB,36.17,37.79,35.96,37.59,"3,493,052"
02/24/2026,BITB,34.23,35.17,34.11,35.01,"2,117,695"
02/23/2026,BITB,35.89,35.98,34.70,35.01,"3,996,521"
02/20/2026,BITB,36.37,36.98,36.14,36.79,"5,270,840"
02/19/2026,BITB,35.80,36.49,35.64,36.45,"2,406,897"
